[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 25829: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 25851: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 2%, Uso Memoria: 0.2%
[2025-03-14T06:55:54.834180463+00:00] Contenedor PID 1735: Nombre: containerd, Tipo: containerd, Uso CPU: 12%, Uso Memoria: 0.2%
[2025-03-14T06:55:54.834180463+00:00] Contenedor PID 1921: Nombre: dockerd, Tipo: dockerd, Uso CPU: 30%, Uso Memoria: 0.4%
[2025-03-14T06:55:54.834180463+00:00] Contenedor PID 7228: Nombre: docker, Tipo: docker, Uso CPU: 0%, Uso Memoria: 0%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 1735: Nombre: containerd, Tipo: containerd, Uso CPU: 12%, Uso Memoria: 0.2%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 1921: Nombre: dockerd, Tipo: dockerd, Uso CPU: 30%, Uso Memoria: 0.4%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 7423: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 20%, Uso Memoria: 0.5%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 7444: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 14%, Uso Memoria: 0.8%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 7481: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 11%, Uso Memoria: 0.3%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 7482: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 2%, Uso Memoria: 0%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 9382: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T06:59:20.235529299+00:00] Contenedor PID 9409: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 0%, Uso Memoria: 0%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 1735: Nombre: containerd, Tipo: containerd, Uso CPU: 12%, Uso Memoria: 0.2%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 1921: Nombre: dockerd, Tipo: dockerd, Uso CPU: 30%, Uso Memoria: 0.4%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 7423: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 20%, Uso Memoria: 0.5%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 7444: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 14%, Uso Memoria: 0.8%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 7481: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 11%, Uso Memoria: 0.3%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 7482: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 2%, Uso Memoria: 0%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 10941: Nombre: docker, Tipo: docker, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T07:04:36.673637443+00:00] Contenedor PID 10966: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 1%, Uso Memoria: 0.1%
